timestamp,open,high,low,close,adjusted close,volume,dividend amount
2007-10-05,117.6100,119.6000,115.0000,116.3000,61.3406,33529800,0.0000
2007-09-28,116.9000,118.5000,115.7900,117.8000,62.1318,33029400,0.0000
2007-09-21,114.7000,118.1000,114.3000,116.7800,61.5938,38076800,0.0000
2007-09-14,116.1500,117.7800,114.6500,115.1300,60.7235,32211300,0.0000
2007-09-07,116.3400,118.8900,115.3300,115.5500,60.9451,28916300,0.0000
2007-08-31,113.0000,117.3500,111.6300,116.6900,61.5463,32617900,0.0000
2007-08-24,110.9000,113.2500,108.0800,113.2400,59.7267,39957700,0.0000
2007-08-17,112.9900,113.9500,103.7000,110.9000,58.4925,55388900,0.0000
2007-08-10,111.9700,114.6000,109.7000,112.6400,59.4102,41626500,0.4000
2007-08-03,115.6200,115.7500,110.0200,111.8900,58.8064,66192100,0.0000
2007-07-27,114.8800,118.8200,114.8500,115.6200,60.7668,64841000,0.0000
2007-07-20,108.5700,116.4800,108.4200,114.8100,60.3411,55626100,0.0000
2007-07-13,108.7300,109.6500,108.1000,108.6000,57.0773,34811600,0.0000
2007-07-06,105.3900,109.6600,104.5800,109.0300,57.3033,24567300,0.0000
2007-06-29,104.7300,106.9200,104.1000,105.2500,55.3166,31559100,0.0000
2007-06-22,105.2700,107.0200,104.4400,104.4400,54.8909,35051000,0.0000
2007-06-15,102.8700,105.1900,102.1000,105.0900,55.2325,34517000,0.0000
2007-06-08,106.5000,106.5900,101.5600,103.0700,54.1709,63185700,0.0000
2007-06-01,105.5700,107.6700,105.2100,106.5400,55.9946,23208200,0.0000
2007-05-25,107.1500,108.0000,103.5700,105.1800,55.2798,30271700,0.0000
2007-05-18,105.8100,108.0500,104.5300,107.9900,56.7567,35014200,0.0000
2007-05-11,102.7600,105.9900,102.2100,105.9800,55.7003,34979100,0.4000
2007-05-04,101.1100,103.1700,100.9700,102.9600,53.9043,38307800,0.0000
2007-04-27,95.3500,101.7000,95.0500,101.1700,52.9672,58275300,0.0000
2007-04-20,94.9900,97.6600,93.9110,94.5800,49.5170,51786700,0.0000
2007-04-13,96.4300,96.9400,94.5300,94.9300,49.7002,27497000,0.0000
2007-04-05,94.5100,96.7500,94.0600,96.5200,50.5327,19197800,0.0000
2007-03-30,94.8400,95.2500,93.5700,94.2600,49.3495,34042800,0.0000
2007-03-23,93.9500,95.8100,93.3900,95.0300,49.7526,26906600,0.0000
2007-03-16,93.2900,94.4700,92.1000,93.2500,48.8207,36423000,0.0000
